date,SMA,EMA,MACD_Signal,MACD_Hist,MACD,RSI,ADX,CCI,Aroon Down,Aroon Up,Real Upper Band,Real Lower Band,Real Middle Band,Chaikin A/D,OBV,WMA,MOM,WILLR,SlowK,SlowD,4. close
2012-02-02,-1.4763682192860934,-1.4755471169579628,0.7534262588922203,0.3158588905359571,0.8189142286622815,1.3044189919306282,0.5162723841163236,0.7667724542184984,-1.1664249484092124,0.9460387649883141,-1.464051707179882,-1.4855862147529242,-1.4763682192860934,-1.5506217605211239,-1.2188788496412386,-1.4569693684439962,0.8245896547031173,0.9219371959471728,0.7726418175841524,0.6352423249171947,-1.4186498555478606
2012-02-03,-1.4678061340755388,-1.4659739442235231,0.7973265504635695,0.44592128455167523,0.9058859360013899,1.6335416999103316,0.6879298669940458,1.0774998983054396,-1.1664249484092124,0.9460387649883141,-1.4509356386950227,-1.4817638184552602,-1.4678061340755388,-1.5372700994178055,-1.1856129831787163,-1.4471998885853983,0.9276979122585811,1.0142862834830821,1.1103874225607389,0.8941400224265172,-1.3875140434288913
2012-02-06,-1.4596245859854535,-1.457403247303587,0.8428266206936468,0.46302066658195257,0.9546462626249023,1.6099776982951088,0.8475409606157528,0.951724173442559,-1.0237630682898655,0.7954600926922648,-1.440422151469701,-1.4760184211146028,-1.4596245859854535,-1.5211250962992573,-1.2116412611666554,-1.4383342609278356,0.8687789079411732,0.9964284627208668,1.2297020279065285,1.1212345398585344,-1.3884575528870418
2012-02-07,-1.4510149336348404,-1.449286040012721,0.8857315674321525,0.43532633890971184,0.9852221570396839,1.6497039757486203,1.0124410606445389,0.9029561674827148,-1.1664249484092124,0.9460387649883141,-1.4324790364952524,-1.4667387341878597,-1.4510149336348404,-1.5129447711403758,-1.1840664199199182,-1.429884262943819,0.9350627877982571,0.9578258520724534,1.256269428888667,1.2948375211321401,-1.3846835150544394
2012-02-08,-1.4425004155643446,-1.4406724981771681,0.9287022134995588,0.4359759047568579,1.025822327729747,1.7879063480910644,1.1795793655410105,0.9287281513263528,-0.7384393080511716,0.9460387649883141,-1.4226626642487652,-1.459593726438741,-1.4425004155643446,-1.4939564287172615,-1.1534542328865693,-1.4209869411513332,0.9203330367189051,1.0678495684402665,1.2958740687165338,1.3614198129748882,-1.3714743826403313
2012-02-10,-1.4255189465634117,-1.4242608008557074,1.0094434037518927,0.3406916173140139,1.068178598543158,1.5244601471917625,1.5287250688180054,0.7235414271012565,-1.0237630682898655,0.7954600926922648,-1.4053814574666357,-1.4429636420554648,-1.4255189465634117,-1.4746556211037398,-1.147807399607243,-1.4039605482140851,0.8172247791634413,0.7507986161615577,0.9212290800822122,1.2621315303179843,-1.3705308731821808
2012-02-13,-1.4161482199718605,-1.4159449835782283,1.0416393598796083,0.3208271914749391,1.091443067312576,1.744180929247627,1.709135786019033,0.8465383881219066,-1.1664249484092124,0.9460387649883141,-1.3993454892429074,-1.4301597270261828,-1.4161482199718605,-1.4656664751254047,-1.1227759124657928,-1.3954066428116825,1.0529007964330728,0.995285209377997,0.8320022018969105,1.0956214648797293,-1.349773665102868
2012-02-14,-1.4074910004811882,-1.4078770955457833,1.0703696764078197,0.28377560443705385,1.1054085384165313,1.8019254376596137,1.8829031690268023,0.7515373560569452,-1.1664249484092124,0.9460387649883141,-1.392470686402221,-1.419676241640016,-1.4074910004811882,-1.4476319826570885,-1.0937014812074026,-1.3872007086451004,0.942427663337933,1.0678495684402665,0.9052343014923813,0.9581727098735291,-1.3441126083539643
2012-02-15,-1.4013072722735656,-1.4023004013291318,1.0816371113142644,0.09714831421850877,1.050376866537055,1.3257956178684882,2.0773418708762548,0.6591310822957538,-1.1664249484092124,0.9460387649883141,-1.387777227003407,-1.4119630503055725,-1.4013072722735656,-1.4647317702196891,-1.1252072415573293,-1.381534195869794,0.5594541352747818,0.21020940714184272,0.4693309798118805,0.7959593547939903,-1.3620392880588255
2012-02-16,-1.3941722012647702,-1.393990487128915,1.0963898956188836,0.13438423751031386,1.0773294541946998,1.6929985478677287,2.253874933784222,0.6644672429111026,-0.7384393080511716,0.7954600926922648,-1.3769808606585106,-1.4086391811686745,-1.3941722012647702,-1.448630075994743,-1.0951500805231416,-1.3732017698413768,0.7067516460683015,0.8963208576919509,0.37373491170522205,0.6314555354376262,-1.3280729475654045
2012-02-17,-1.3871798316761508,-1.3871974733633716,1.1044774830065416,0.06313388641187397,1.0598764731797012,1.5017246969694809,2.421583481959085,0.6282302943318847,-0.8811011881705186,0.6448814203962155,-1.3702476840965023,-1.4013950097595937,-1.3871798316761508,-1.4477291781489998,-1.12565024254274,-1.3662700537698602,0.6846570194492736,0.7438508925823372,-0.066146727872531,0.2827699664050201,-1.3356210232306092
2012-02-21,-1.3799020592471793,-1.3805072873953081,1.1072040051559144,0.00585797894392764,1.042300040486436,1.5633910153080515,2.590375492362891,0.6227605662444556,-1.0237630682898655,0.9460387649883141,-1.3645211090748441,-1.3925272631880885,-1.3799020592471793,-1.445235098212931,-1.0975043055017657,-1.3594603696070608,0.7288462726873295,0.8404235718448723,0.5535548806610276,0.31300158705151054,-1.3299599664817057
2012-02-22,-1.3729572567986188,-1.375361041764218,1.097283406491931,-0.12936583018154563,0.9854351111846945,1.3157756696898635,2.7507279022465068,0.4872474924554398,-1.1664249484092124,0.7954600926922648,-1.363042762256866,-1.3799344458232337,-1.3729572567986188,-1.452503603555784,-1.1238697401517785,-1.354245830378581,0.6772921439095976,0.6236023525486202,0.18028386718341605,0.2435645742214056,-1.3393950610632115
2012-02-23,-1.3668210957310545,-1.3693447587133407,1.0839267329264486,-0.16604874471159126,0.959988634001907,1.4821377420403716,2.9030683940687254,0.48892782729650613,-0.7384393080511716,0.6448814203962155,-1.3576192319949902,-1.3730745456896354,-1.3668210957310545,-1.4391864196894968,-1.0965450623495407,-1.3483353486784595,0.5520892597351058,0.9264966395460364,0.44258892097083824,0.42617894414617075,-1.3252424191909526
2012-02-24,-1.359733591862318,-1.363085306963609,1.0699820503673065,-0.17235128901227867,0.9446713670209278,1.579266059996789,3.0618098666908864,0.6671619433093664,-0.8811011881705186,0.9460387649883141,-1.3537837458994426,-1.3626341118436474,-1.359733591862318,-1.4391864196894968,-1.071155095164089,-1.3421944676981161,0.6993867705286255,0.9709240750897242,0.5811352972248083,0.43608060449616853,-1.3167508340675975
2012-02-27,-1.3528363565538157,-1.3571500484087091,1.0541485121022736,-0.1925404977749264,0.9226969682894,1.6120104110457891,3.1215856183482478,0.5634724872913199,-1.0237630682898655,0.9460387649883141,-1.3509050074003992,-1.351589215024543,-1.3528363565538157,-1.431419849059322,-1.0439036585432548,-1.3364557416393463,0.6699272683699216,0.8824695122945108,0.8639607087905458,0.6814904767841135,-1.3139203056931457
2012-02-29,-1.3374721703148762,-1.343337514090396,1.0387190247099787,-0.12038602124059405,0.9335699748527668,1.6129715306616004,3.2985891319608873,0.9010908930649217,-1.1664249484092124,0.9460387649883141,-1.3443707798165476,-1.3271117539445139,-1.3374721703148762,-1.4241069864838323,-1.0494307409458135,-1.3232520978799134,0.7435760237666814,0.6313947944731659,0.8076859466517539,0.970557099749867,-1.2988241543627363
2012-03-02,-1.3231068940171682,-1.3294052996411274,1.031725331148515,-0.06528703715227235,0.9463719138890558,1.7761298709594062,3.481893833799751,0.9889399941248549,-1.1664249484092124,0.9460387649883141,-1.3356237466577223,-1.3069589893792446,-1.3231068940171682,-1.4083469419281052,-1.0471352325261207,-1.310202085271502,0.6772921439095976,0.8682924923542945,0.9161057828877022,0.997323766225759,-1.2808974746578752
2012-03-05,-1.3190161199721253,-1.32595218986428,1.0095780873761386,-0.26003390046014313,0.8570916601663542,1.0689446860569933,3.44548380047447,0.47527592399632457,-1.0237630682898655,0.7954600926922648,-1.3344204367659054,-1.2998858631904695,-1.3190161199721253,-1.4166107463250177,-1.073079144089911,-1.3072198000248747,0.23539961152903835,0.1947941454504471,0.2664794611952988,0.8030522706293416,-1.306372230027941
2012-03-05,-1.3190161199721253,-1.32595218986428,1.0095780873761386,-0.26003390046014313,0.8570916601663542,1.0689446860569933,3.44548380047447,0.47527592399632457,-1.0237630682898655,0.7954600926922648,-1.3344204367659054,-1.2998858631904695,-1.3190161199721253,-1.4166107463250177,-1.073079144089911,-1.3072198000248747,0.23539961152903835,0.1947941454504471,0.2664794611952988,0.8030522706293416,-1.306372230027941
2012-03-05,-1.3190161199721253,-1.32595218986428,1.0095780873761386,-0.26003390046014313,0.8570916601663542,1.0689446860569933,3.44548380047447,0.47527592399632457,-1.0237630682898655,0.7954600926922648,-1.3344204367659054,-1.2998858631904695,-1.3190161199721253,-1.4166107463250177,-1.073079144089911,-1.3072198000248747,0.23539961152903835,0.1947941454504471,0.2664794611952988,0.8030522706293416,-1.306372230027941
2012-03-06,-1.3161145244285488,-1.325185646718438,0.9598568352642007,-0.5547261250599737,0.7067676378325729,0.46895195669724327,3.293742064094562,-0.38204137314434594,-1.1664249484092124,0.6448814203962155,-1.336699620906562,-1.2916225795920802,-1.3161145244285488,-1.4081176237117585,-1.1019849970172644,-1.3069757362074403,0.05127772303713871,-0.4650326555431179,-0.7465749333040507,0.16039731476836083,-1.3309034759398561
2012-03-07,-1.3124994217840922,-1.3227690982667404,0.9018508977779032,-0.6433216398605839,0.6211168634509214,0.7263221140483156,3.192039175393485,0.04663268705738319,-1.1664249484092124,0.4943027481001664,-1.3382029880559083,-1.2827120717154983,-1.3124994217840922,-1.4036372621995652,-1.077426641726992,-1.305290253499327,0.1617508561322785,-0.06296368538411286,-1.3232214389749557,-0.6434302560171776,-1.3129767962349952
2012-03-08,-1.3081708120387567,-1.3179531393295922,0.8534469172104212,-0.5406551243440935,0.6117376221945854,1.0814060990068148,3.1508248424477587,0.6228231468082975,-1.1664249484092124,0.3437240758041172,-1.3351383709010647,-1.277084026101216,-1.3081708120387567,-1.3964721515494367,-1.05239886299979,-1.3013273479224639,0.2722239892274183,0.6740852991220486,-0.5183475684316291,-0.9251531823873438,-1.2856150219486282
2012-03-12,-1.2994660254080261,-1.3079263817551585,0.782889122937673,-0.37203134159171825,0.6047348257448892,1.1954589600830243,3.086216279006031,0.6848572982643433,-1.1664249484092124,0.9460387649883141,-1.3274739338711479,-1.267322065179437,-1.2994660254080261,-1.3891251570963061,-1.0279764828986218,-1.2927915670103916,0.33850786908450214,0.8999066701056404,1.0903988009306418,0.37072713837857874,-1.2761799273671224
2012-03-13,-1.2933774314805206,-1.2990833815937481,0.7783361594448649,-0.07196703187765276,0.705959029339924,1.719114487773206,3.121086655479656,1.3775680976974114,-0.7384393080511716,0.9460387649883141,-1.3123124532969246,-1.2706499976077679,-1.2933774314805206,-1.3735560389710662,-1.0015555765521447,-1.2846443713752995,0.5447243841954298,1.0447707776641741,1.3018434862052886,1.0241029717396626,-1.229004454459593
2012-03-14,-1.287051001852722,-1.2900850924159584,0.7942255421394634,0.1465240965184625,0.7977083166279658,1.8194133957266083,3.180206627366867,1.5280846281579392,-0.8811011881705186,0.9460387649883141,-1.2971856090769467,-1.2734583124578966,-1.287051001852722,-1.369003946699992,-0.9758701723649122,-1.2760814511740413,0.5815487618938098,0.864710072383759,1.2564751370335985,1.3136293594325166,-1.2186258504199365
2012-03-15,-1.279487826583399,-1.2813091207447571,0.8225682326271617,0.2796324276822844,0.8711373748611833,1.8830240480006126,3.238927428959205,1.4047028433715751,-1.0237630682898655,0.9460387649883141,-1.2852576328943033,-1.2704363845724542,-1.279487826583399,-1.3618579952299477,-0.9499492838729133,-1.2674868368378598,0.7730355259253854,0.9674807452884991,1.263476976532763,1.3757602927810693,-1.2120212842128826
2012-03-15,-1.279487826583399,-1.2813091207447571,0.8225682326271617,0.2796324276822844,0.8711373748611833,1.8830240480006126,3.238927428959205,1.4047028433715751,-1.0237630682898655,0.9460387649883141,-1.2852576328943033,-1.2704363845724542,-1.279487826583399,-1.3618579952299477,-0.9499492838729133,-1.2674868368378598,0.7730355259253854,0.9674807452884991,1.263476976532763,1.3757602927810693,-1.2120212842128826
2012-03-15,-1.279487826583399,-1.2813091207447571,0.8225682326271617,0.2796324276822844,0.8711373748611833,1.8830240480006126,3.238927428959205,1.4047028433715751,-1.0237630682898655,0.9460387649883141,-1.2852576328943033,-1.2704363845724542,-1.279487826583399,-1.3618579952299477,-0.9499492838729133,-1.2674868368378598,0.7730355259253854,0.9674807452884991,1.263476976532763,1.3757602927810693,-1.2120212842128826
2012-03-15,-1.279487826583399,-1.2813091207447571,0.8225682326271617,0.2796324276822844,0.8711373748611833,1.8830240480006126,3.238927428959205,1.4047028433715751,-1.0237630682898655,0.9460387649883141,-1.2852576328943033,-1.2704363845724542,-1.279487826583399,-1.3618579952299477,-0.9499492838729133,-1.2674868368378598,0.7730355259253854,0.9674807452884991,1.263476976532763,1.3757602927810693,-1.2120212842128826
2012-03-15,-1.279487826583399,-1.2813091207447571,0.8225682326271617,0.2796324276822844,0.8711373748611833,1.8830240480006126,3.238927428959205,1.4047028433715751,-1.0237630682898655,0.9460387649883141,-1.2852576328943033,-1.2704363845724542,-1.279487826583399,-1.3618579952299477,-0.9499492838729133,-1.2674868368378598,0.7730355259253854,0.9674807452884991,1.263476976532763,1.3757602927810693,-1.2120212842128826
2012-03-15,-1.279487826583399,-1.2813091207447571,0.8225682326271617,0.2796324276822844,0.8711373748611833,1.8830240480006126,3.238927428959205,1.4047028433715751,-1.0237630682898655,0.9460387649883141,-1.2852576328943033,-1.2704363845724542,-1.279487826583399,-1.3618579952299477,-0.9499492838729133,-1.2674868368378598,0.7730355259253854,0.9674807452884991,1.263476976532763,1.3757602927810693,-1.2120212842128826
2012-03-16,-1.2737322026363038,-1.2735501921593695,0.8529213225792168,0.3011471018897843,0.9072192141266736,1.8312672043216072,3.2946972215858676,1.1633772445852222,-1.1664249484092124,0.9460387649883141,-1.2736650038395527,-1.2707432598206494,-1.2737322026363038,-1.3633978639491011,-0.9822219133859348,-1.2597915198569756,0.49317025541769793,0.909534423776455,1.1684747451463766,1.3278862456519525,-1.2139083031291837
2012-03-19,-1.2666446987675672,-1.264716808301242,0.8901005728040393,0.3740915909409159,0.9677969526522954,2.01805583034607,3.3712238695459718,1.153838845809808,-0.7384393080511716,0.9460387649883141,-1.2601749374164035,-1.2703075201870202,-1.2666446987675672,-1.3540537523652916,-0.9582964607940375,-1.2508354595329991,0.6993867705286255,0.9668836752934099,1.216990817064088,1.3137087733399244,-1.195038113966172
2012-03-20,-1.259604762038889,-1.256271218534906,0.9288139023586898,0.39050629545663385,1.009940269320696,2.0633720678639524,3.446495982293615,0.9562757419142193,-0.8811011881705186,0.9460387649883141,-1.2477723218133248,-1.2688416394301942,-1.259604762038889,-1.341589103388051,-0.9349862959328361,-1.2421007836903895,0.6920218949889495,1.0279374747344414,1.2422502247473255,1.3060892179080772,-1.190320566675419
2012-03-21,-1.2521367210496834,-1.248720706661262,0.9624388188899925,0.33607443304916484,1.0223934573658804,2.0350245628734873,3.533315521428681,0.8869710365933259,-1.0237630682898655,0.9460387649883141,-1.2387219638163804,-1.2630312294266153,-1.2521367210496834,-1.3515084272748985,-0.9589735554288715,-1.2341253436966488,0.7583057748460335,0.7882511885807936,0.9619321237782953,1.231950065823541,-1.1912640761335698
2012-03-22,-1.2456200228616503,-1.2423426221007339,0.9849079893739813,0.21687032218100988,1.0015918495778895,1.888945428622158,3.558320689186137,0.5869551433442666,-1.1664249484092124,0.7954600926922648,-1.2314430079365382,-1.2573200798280328,-1.2456200228616503,-1.3466369427790643,-0.9825343472863534,-1.2273111046881118,0.6110082640525137,0.684523846706649,0.46779010936777415,0.9630169582254275,-1.1959816234243226
2012-03-22,-1.2456200228616503,-1.2423426221007339,0.9849079893739813,0.21687032218100988,1.0015918495778895,1.888945428622158,3.558320689186137,0.5869551433442666,-1.1664249484092124,0.7954600926922648,-1.2314430079365382,-1.2573200798280328,-1.2456200228616503,-1.3466369427790643,-0.9825343472863534,-1.2273111046881118,0.6110082640525137,0.684523846706649,0.46779010936777415,0.9630169582254275,-1.1959816234243226
2012-03-23,-1.2396741303543208,-1.2368440008414283,0.9940073464267078,0.07397461372573048,0.9598991315351636,1.7993182626098296,3.56199875833176,0.4353261733085803,-0.16779178757378388,0.6448814203962155,-1.2256253140961653,-1.2512556173648826,-1.2396741303543208,-1.3411586696504099,-1.0046139366861633,-1.2213871482360168,0.5226297575764018,0.6270219352477678,-0.20623009328485442,0.4430732080274256,-1.1988121517987744
2012-03-26,-1.231540149404294,-1.2274259267015204,1.01628270389044,0.21478995588677186,1.0303375728623627,2.277988973339305,3.6253955548069055,0.8283218398143365,-0.3104536676931308,0.9460387649883141,-1.2119598252751018,-1.2488732708999375,-1.231540149404294,-1.3255596957915565,-0.9794659435304124,-1.211599638779708,0.8614140324014973,1.0678495684402665,0.18189848205683756,0.163068129864878,-1.1525801883493958
